,date,name,scaled,scaled_day_1,scaled_day_2,scaled_day_3,scaled_day_4,scaled_day_5,scaled_day_6,scaled_day_7,scaled_day_8,scaled_day_9,scaled_day_10,scaled_day_11,scaled_day_12,scaled_day_13,scaled_day_14
103,2015-01-18,netflix,43.07,42.34,30.74,28.42,27.84,26.68,31.32,42.92,46.08,35.2,32.64,34.56,34.56,39.04,55.04
109,2015-01-19,netflix,37.17,43.07,42.34,30.74,28.42,27.84,26.68,31.32,42.92,46.08,35.2,32.64,34.56,34.56,39.04
115,2015-01-20,netflix,29.5,37.17,43.07,42.34,30.74,28.42,27.84,26.68,31.32,42.92,46.08,35.2,32.64,34.56,34.56
121,2015-01-21,netflix,28.32,29.5,37.17,43.07,42.34,30.74,28.42,27.84,26.68,31.32,42.92,46.08,35.2,32.64,34.56
127,2015-01-22,netflix,28.32,28.32,29.5,37.17,43.07,42.34,30.74,28.42,27.84,26.68,31.32,42.92,46.08,35.2,32.64
133,2015-01-23,netflix,30.68,28.32,28.32,29.5,37.17,43.07,42.34,30.74,28.42,27.84,26.68,31.32,42.92,46.08,35.2
139,2015-01-24,netflix,44.84,30.68,28.32,28.32,29.5,37.17,43.07,42.34,30.74,28.42,27.84,26.68,31.32,42.92,46.08
145,2015-01-25,netflix,46.98,44.84,30.68,28.32,28.32,29.5,37.17,43.07,42.34,30.74,28.42,27.84,26.68,31.32,42.92
151,2015-01-26,netflix,31.9,46.98,44.84,30.68,28.32,28.32,29.5,37.17,43.07,42.34,30.74,28.42,27.84,26.68,31.32
157,2015-01-27,netflix,32.48,31.9,46.98,44.84,30.68,28.32,28.32,29.5,37.17,43.07,42.34,30.74,28.42,27.84,26.68
163,2015-01-28,netflix,27.84,32.48,31.9,46.98,44.84,30.68,28.32,28.32,29.5,37.17,43.07,42.34,30.74,28.42,27.84
169,2015-01-29,netflix,26.68,27.84,32.48,31.9,46.98,44.84,30.68,28.32,28.32,29.5,37.17,43.07,42.34,30.74,28.42
175,2015-01-30,netflix,28.42,26.68,27.84,32.48,31.9,46.98,44.84,30.68,28.32,28.32,29.5,37.17,43.07,42.34,30.74
181,2015-01-31,netflix,40.02,28.42,26.68,27.84,32.48,31.9,46.98,44.84,30.68,28.32,28.32,29.5,37.17,43.07,42.34
187,2015-02-01,netflix,53.36,40.02,28.42,26.68,27.84,32.48,31.9,46.98,44.84,30.68,28.32,28.32,29.5,37.17,43.07
193,2015-02-02,netflix,37.12,53.36,40.02,28.42,26.68,27.84,32.48,31.9,46.98,44.84,30.68,28.32,28.32,29.5,37.17
199,2015-02-03,netflix,42.34,37.12,53.36,40.02,28.42,26.68,27.84,32.48,31.9,46.98,44.84,30.68,28.32,28.32,29.5
205,2015-02-04,netflix,51.04,42.34,37.12,53.36,40.02,28.42,26.68,27.84,32.48,31.9,46.98,44.84,30.68,28.32,28.32
211,2015-02-05,netflix,33.64,51.04,42.34,37.12,53.36,40.02,28.42,26.68,27.84,32.48,31.9,46.98,44.84,30.68,28.32
217,2015-02-06,netflix,35.96,33.64,51.04,42.34,37.12,53.36,40.02,28.42,26.68,27.84,32.48,31.9,46.98,44.84,30.68
223,2015-02-07,netflix,51.04,35.96,33.64,51.04,42.34,37.12,53.36,40.02,28.42,26.68,27.84,32.48,31.9,46.98,44.84
229,2015-02-08,netflix,48.88,51.04,35.96,33.64,51.04,42.34,37.12,53.36,40.02,28.42,26.68,27.84,32.48,31.9,46.98
235,2015-02-09,netflix,32.24,48.88,51.04,35.96,33.64,51.04,42.34,37.12,53.36,40.02,28.42,26.68,27.84,32.48,31.9
241,2015-02-10,netflix,30.68,32.24,48.88,51.04,35.96,33.64,51.04,42.34,37.12,53.36,40.02,28.42,26.68,27.84,32.48
247,2015-02-11,netflix,30.16,30.68,32.24,48.88,51.04,35.96,33.64,51.04,42.34,37.12,53.36,40.02,28.42,26.68,27.84
253,2015-02-12,netflix,29.64,30.16,30.68,32.24,48.88,51.04,35.96,33.64,51.04,42.34,37.12,53.36,40.02,28.42,26.68
259,2015-02-13,netflix,33.28,29.64,30.16,30.68,32.24,48.88,51.04,35.96,33.64,51.04,42.34,37.12,53.36,40.02,28.42
265,2015-02-14,netflix,45.24,33.28,29.64,30.16,30.68,32.24,48.88,51.04,35.96,33.64,51.04,42.34,37.12,53.36,40.02
271,2015-02-15,netflix,57.99999999999999,45.24,33.28,29.64,30.16,30.68,32.24,48.88,51.04,35.96,33.64,51.04,42.34,37.12,53.36
277,2015-02-16,netflix,45.24,57.99999999999999,45.24,33.28,29.64,30.16,30.68,32.24,48.88,51.04,35.96,33.64,51.04,42.34,37.12
283,2015-02-17,netflix,39.44,45.24,57.99999999999999,45.24,33.28,29.64,30.16,30.68,32.24,48.88,51.04,35.96,33.64,51.04,42.34
289,2015-02-18,netflix,36.54,39.44,45.24,57.99999999999999,45.24,33.28,29.64,30.16,30.68,32.24,48.88,51.04,35.96,33.64,51.04
295,2015-02-19,netflix,35.96,36.54,39.44,45.24,57.99999999999999,45.24,33.28,29.64,30.16,30.68,32.24,48.88,51.04,35.96,33.64
301,2015-02-20,netflix,37.7,35.96,36.54,39.44,45.24,57.99999999999999,45.24,33.28,29.64,30.16,30.68,32.24,48.88,51.04,35.96
307,2015-02-21,netflix,53.94,37.7,35.96,36.54,39.44,45.24,57.99999999999999,45.24,33.28,29.64,30.16,30.68,32.24,48.88,51.04
313,2015-02-22,netflix,56.84,53.94,37.7,35.96,36.54,39.44,45.24,57.99999999999999,45.24,33.28,29.64,30.16,30.68,32.24,48.88
319,2015-02-23,netflix,38.28,56.84,53.94,37.7,35.96,36.54,39.44,45.24,57.99999999999999,45.24,33.28,29.64,30.16,30.68,32.24
325,2015-02-24,netflix,36.54,38.28,56.84,53.94,37.7,35.96,36.54,39.44,45.24,57.99999999999999,45.24,33.28,29.64,30.16,30.68
331,2015-02-25,netflix,37.7,36.54,38.28,56.84,53.94,37.7,35.96,36.54,39.44,45.24,57.99999999999999,45.24,33.28,29.64,30.16
337,2015-02-26,netflix,35.37999999999999,37.7,36.54,38.28,56.84,53.94,37.7,35.96,36.54,39.44,45.24,57.99999999999999,45.24,33.28,29.64
343,2015-02-27,netflix,39.44,35.37999999999999,37.7,36.54,38.28,56.84,53.94,37.7,35.96,36.54,39.44,45.24,57.99999999999999,45.24,33.28
349,2015-02-28,netflix,57.42,39.44,35.37999999999999,37.7,36.54,38.28,56.84,53.94,37.7,35.96,36.54,39.44,45.24,57.99999999999999,45.24
355,2015-03-01,netflix,57.99999999999999,57.42,39.44,35.37999999999999,37.7,36.54,38.28,56.84,53.94,37.7,35.96,36.54,39.44,45.24,57.99999999999999
361,2015-03-02,netflix,37.7,57.99999999999999,57.42,39.44,35.37999999999999,37.7,36.54,38.28,56.84,53.94,37.7,35.96,36.54,39.44,45.24
367,2015-03-03,netflix,34.8,37.7,57.99999999999999,57.42,39.44,35.37999999999999,37.7,36.54,38.28,56.84,53.94,37.7,35.96,36.54,39.44
373,2015-03-04,netflix,33.64,34.8,37.7,57.99999999999999,57.42,39.44,35.37999999999999,37.7,36.54,38.28,56.84,53.94,37.7,35.96,36.54
379,2015-03-05,netflix,37.7,33.64,34.8,37.7,57.99999999999999,57.42,39.44,35.37999999999999,37.7,36.54,38.28,56.84,53.94,37.7,35.96
385,2015-03-06,netflix,37.12,37.7,33.64,34.8,37.7,57.99999999999999,57.42,39.44,35.37999999999999,37.7,36.54,38.28,56.84,53.94,37.7
391,2015-03-07,netflix,50.46,37.12,37.7,33.64,34.8,37.7,57.99999999999999,57.42,39.44,35.37999999999999,37.7,36.54,38.28,56.84,53.94
397,2015-03-08,netflix,47.17,50.46,37.12,37.7,33.64,34.8,37.7,57.99999999999999,57.42,39.44,35.37999999999999,37.7,36.54,38.28,56.84
403,2015-03-09,netflix,32.86,47.17,50.46,37.12,37.7,33.64,34.8,37.7,57.99999999999999,57.42,39.44,35.37999999999999,37.7,36.54,38.28
409,2015-03-10,netflix,29.68,32.86,47.17,50.46,37.12,37.7,33.64,34.8,37.7,57.99999999999999,57.42,39.44,35.37999999999999,37.7,36.54
415,2015-03-11,netflix,29.68,29.68,32.86,47.17,50.46,37.12,37.7,33.64,34.8,37.7,57.99999999999999,57.42,39.44,35.37999999999999,37.7
421,2015-03-12,netflix,29.68,29.68,29.68,32.86,47.17,50.46,37.12,37.7,33.64,34.8,37.7,57.99999999999999,57.42,39.44,35.37999999999999
427,2015-03-13,netflix,31.270000000000003,29.68,29.68,29.68,32.86,47.17,50.46,37.12,37.7,33.64,34.8,37.7,57.99999999999999,57.42,39.44
433,2015-03-14,netflix,43.46,31.270000000000003,29.68,29.68,29.68,32.86,47.17,50.46,37.12,37.7,33.64,34.8,37.7,57.99999999999999,57.42
