,close,date,high,id,low,name,open,volume
0,414.7700,2020-05-26,428.5000,NFLX,413.1400,,427.7700,7823222
1,429.3200,2020-05-22,439.0900,NFLX,427.1800,,437.0000,5422334
2,436.2500,2020-05-21,448.9600,NFLX,430.2500,,448.5600,9076150
3,447.6700,2020-05-20,455.8100,NFLX,444.0000,,454.2500,5607257
4,451.0400,2020-05-19,458.9700,NFLX,450.4650,,453.3965,4810487
5,452.5800,2020-05-18,456.3600,NFLX,443.3500,,451.1600,7780309
6,454.1900,2020-05-15,455.0000,NFLX,437.5100,,440.7000,7243998
7,441.9500,2020-05-14,452.3800,NFLX,432.8200,,444.9000,9007467
8,438.2700,2020-05-13,447.0000,NFLX,427.2700,,435.6900,7014563
9,431.8200,2020-05-12,444.1700,NFLX,431.3600,,442.0000,4598211
10,440.5200,2020-05-11,444.8899,NFLX,435.5600,,436.3300,5486037
11,435.5500,2020-05-08,442.0000,NFLX,433.6389,,434.1400,5054308
12,436.5300,2020-05-07,438.8800,NFLX,430.6600,,436.8900,5650281
13,434.2600,2020-05-06,439.7700,NFLX,426.3850,,429.3000,6660737
14,424.6800,2020-05-05,431.0000,NFLX,421.5600,,427.5550,6286293
15,428.1500,2020-05-04,428.5400,NFLX,414.8700,,417.7800,7799058
16,415.2700,2020-05-01,427.9700,NFLX,411.7300,,415.1000,8299858
17,419.8500,2020-04-30,424.4400,NFLX,408.0000,,410.3100,7953975
18,411.8900,2020-04-29,415.8600,NFLX,393.6000,,399.5300,9693137
19,403.8300,2020-04-28,421.0000,NFLX,402.9101,,419.9900,10101233
20,421.3800,2020-04-27,429.0000,NFLX,420.8400,,425.0000,6277480
21,424.9900,2020-04-24,427.1700,NFLX,415.8800,,425.0000,8670362
22,426.7000,2020-04-23,438.4130,NFLX,419.2600,,419.2600,13952330
23,421.4200,2020-04-22,433.0000,NFLX,413.0000,,429.7250,21123773
24,433.8300,2020-04-21,447.0000,NFLX,425.6000,,444.7700,23177550
25,437.4900,2020-04-20,444.4900,NFLX,430.5600,,435.1700,12655818
26,422.9600,2020-04-17,432.0000,NFLX,414.6950,,431.0000,12616258
27,439.1700,2020-04-16,449.5200,NFLX,431.6100,,437.0000,16128666
28,426.7500,2020-04-15,434.9800,NFLX,412.2500,,413.0000,13561222
29,413.5500,2020-04-14,417.8200,NFLX,394.8468,,397.5000,11580983
30,396.7200,2020-04-13,400.5100,NFLX,367.7003,,371.3100,11692922
31,370.7200,2020-04-09,372.1000,NFLX,363.0300,,371.0600,7711296
32,371.1200,2020-04-08,378.3900,NFLX,368.3100,,374.0100,6908879
33,372.2800,2020-04-07,381.3300,NFLX,369.3400,,380.0000,7046438
34,379.9600,2020-04-06,380.2900,NFLX,361.7100,,365.2200,8183921
35,361.7600,2020-04-03,370.9000,NFLX,357.5100,,367.3604,4860768
36,370.0800,2020-04-02,370.9900,NFLX,360.0600,,364.0800,4592477
37,364.0800,2020-04-01,380.2330,NFLX,361.0200,,376.0500,6672454
38,375.5000,2020-03-31,383.0100,NFLX,366.4400,,367.9300,9366464
39,370.9600,2020-03-30,377.8000,NFLX,361.1700,,363.0000,8621964
40,357.1200,2020-03-27,368.5600,NFLX,353.0000,,359.0900,7948775
41,362.9900,2020-03-26,363.8400,NFLX,341.7300,,344.0000,7235016
42,342.3900,2020-03-25,362.0000,NFLX,339.1700,,361.0200,8767171
43,357.3200,2020-03-24,372.9300,NFLX,353.0301,,369.9900,11638683
44,360.2700,2020-03-23,366.1100,NFLX,340.8838,,347.8900,13449378
45,332.8300,2020-03-20,350.4900,NFLX,332.0000,,342.3100,10853846
46,332.0300,2020-03-19,348.5100,NFLX,316.8200,,324.3300,10615957
47,315.4700,2020-03-18,331.5794,NFLX,300.0000,,302.3950,12560908
48,319.7500,2020-03-17,322.9000,NFLX,290.2500,,306.1800,10013913
49,298.8400,2020-03-16,334.3500,NFLX,294.7500,,306.6300,10559940
50,336.2950,2020-03-13,336.4200,NFLX,307.3900,,330.5100,9458197
51,315.2500,2020-03-12,335.7200,NFLX,307.3200,,326.5000,12071591
52,349.9200,2020-03-11,362.9800,NFLX,344.7900,,358.9200,6058782
53,364.1300,2020-03-10,364.5400,NFLX,347.8500,,356.4250,7604444
54,346.4900,2020-03-09,357.4700,NFLX,341.7209,,343.8600,7405458
55,368.9700,2020-03-06,371.3100,NFLX,356.8500,,367.7000,8147165
56,372.7800,2020-03-05,391.4000,NFLX,368.6401,,381.0000,8746985
57,383.7900,2020-03-04,384.0100,NFLX,370.5100,,377.7700,5487340
58,368.7700,2020-03-03,393.5200,NFLX,367.4000,,381.0300,8364623
59,381.0500,2020-03-02,381.3600,NFLX,364.5020,,373.1100,6997891
60,369.0300,2020-02-28,376.7700,NFLX,356.8000,,364.2100,11178572
61,371.7100,2020-02-27,391.5624,NFLX,370.5962,,371.4600,10967699
62,379.2400,2020-02-26,382.0000,NFLX,365.0000,,366.3100,8961126
63,360.0900,2020-02-25,375.6500,NFLX,357.7200,,372.0000,6481243
64,368.7000,2020-02-24,372.8200,NFLX,361.0000,,364.7600,6936418
65,380.0700,2020-02-21,387.3200,NFLX,377.9008,,385.3300,3935618
66,386.0000,2020-02-20,389.7000,NFLX,376.6800,,386.5600,4079425
67,386.1900,2020-02-19,392.9500,NFLX,384.9000,,388.1200,4896368
68,387.7800,2020-02-18,389.5400,NFLX,379.1900,,379.3000,5180400
69,380.4000,2020-02-14,385.1500,NFLX,379.4342,,381.4700,3736266
70,381.4000,2020-02-13,385.3700,NFLX,376.5100,,376.9600,4485383
71,380.0100,2020-02-12,380.6200,NFLX,375.8800,,377.1800,4624772
72,373.6900,2020-02-11,378.1100,NFLX,369.7200,,373.7500,4772870
73,371.0700,2020-02-10,374.8000,NFLX,362.5200,,365.0000,5294138
74,366.7700,2020-02-07,371.8000,NFLX,363.5700,,365.0400,4385227
75,366.9500,2020-02-06,371.5499,NFLX,362.5050,,369.6000,3920428
76,369.6700,2020-02-05,375.2500,NFLX,362.3000,,375.1250,6437026
77,369.0100,2020-02-04,369.5700,NFLX,356.0964,,361.0000,7161451
78,358.0000,2020-02-03,359.6300,NFLX,346.2800,,347.2400,6674885
79,345.0900,2020-01-31,347.3900,NFLX,340.9800,,347.3900,5230001
80,347.7400,2020-01-30,348.2000,NFLX,339.2500,,341.1000,5328136
81,343.1600,2020-01-29,349.4000,NFLX,338.5500,,349.0000,7649183
82,348.5200,2020-01-28,352.4000,NFLX,342.7800,,345.8800,6821581
83,342.8800,2020-01-27,351.9000,NFLX,341.0200,,345.9500,7709482
84,353.1600,2020-01-24,359.8500,NFLX,345.8800,,348.4600,17939681
85,349.6000,2020-01-23,349.8800,NFLX,325.0100,,326.0400,18200293
86,326.0000,2020-01-22,336.3000,NFLX,323.6000,,332.5500,21729959
87,338.1100,2020-01-21,341.0000,NFLX,332.5900,,340.0000,12705288
88,339.6700,2020-01-17,341.5700,NFLX,337.3800,,341.0000,6066547
89,338.6200,2020-01-16,343.5550,NFLX,335.8500,,343.5000,5015997
90,339.0700,2020-01-15,343.1700,NFLX,336.6000,,338.6800,5158035
91,338.6900,2020-01-14,345.3800,NFLX,335.5200,,344.4000,7201544
92,338.9200,2020-01-13,340.8500,NFLX,331.5100,,331.8000,6216564
93,329.0500,2020-01-10,338.5000,NFLX,327.2700,,337.1300,4720540
94,335.6600,2020-01-09,343.4196,NFLX,334.6101,,342.0000,4717430
95,339.2600,2020-01-08,342.7000,NFLX,331.0500,,331.4900,7109117
96,330.7500,2020-01-07,336.7000,NFLX,330.3000,,336.4700,4742458
97,335.8300,2020-01-06,336.3600,NFLX,321.2000,,323.1200,5668577
98,325.9000,2020-01-03,329.8599,NFLX,325.5300,,326.7800,3795466
99,329.8100,2020-01-02,329.9800,NFLX,324.7800,,326.1000,4348493
100,323.5700,2019-12-31,324.9160,NFLX,321.0900,,322.0000,3714837
101,323.3100,2019-12-30,329.1850,NFLX,322.8600,,329.0800,4315267
102,329.0900,2019-12-27,333.8200,NFLX,326.0100,,332.9600,5037156
103,332.6300,2019-12-26,336.4623,NFLX,332.0100,,334.6000,3595854
104,333.2000,2019-12-24,335.7000,NFLX,331.6000,,334.0100,2019322
105,333.1000,2019-12-23,337.9500,NFLX,331.0201,,337.7600,5767937
106,336.9000,2019-12-20,338.0000,NFLX,330.6000,,335.0000,9923260
107,332.2200,2019-12-19,332.8300,NFLX,324.1800,,324.5000,9833355
108,320.8000,2019-12-18,325.3600,NFLX,315.6000,,316.2600,11210737
109,315.4800,2019-12-17,316.8000,NFLX,306.6000,,307.3600,10437127
110,304.2100,2019-12-16,305.7100,NFLX,298.6300,,300.8500,4660166
111,298.5000,2019-12-13,301.8000,NFLX,297.2500,,298.5000,3883069
112,298.4400,2019-12-12,299.1650,NFLX,295.0600,,295.6700,4771404
113,298.9300,2019-12-11,299.4300,NFLX,294.2000,,294.4900,5607155
114,293.1200,2019-12-10,298.9400,NFLX,292.0200,,296.1200,10481239
115,302.5000,2019-12-09,311.4900,NFLX,302.4400,,307.3500,5766006
116,307.3500,2019-12-06,307.8495,NFLX,302.6000,,304.7000,4459684
117,302.8600,2019-12-05,306.4800,NFLX,298.8100,,305.2700,4618867
118,304.3200,2019-12-04,308.4300,NFLX,303.2727,,308.4300,3513551
119,306.1600,2019-12-03,307.3600,NFLX,301.8800,,302.2200,5272447
120,309.9900,2019-12-02,314.3900,NFLX,303.7500,,314.3900,6223135
121,314.6600,2019-11-29,316.6200,NFLX,313.3400,,315.7800,2411749
122,315.9300,2019-11-27,316.8200,NFLX,312.7500,,313.9300,4100975
123,312.4900,2019-11-26,316.5000,NFLX,311.6900,,315.0000,5328348
124,315.5500,2019-11-25,315.7300,NFLX,305.2500,,308.8300,7878943
125,310.4800,2019-11-22,311.4000,NFLX,304.4100,,309.1000,5970056
126,311.6900,2019-11-21,312.6900,NFLX,304.2622,,306.0000,7488373
127,305.1600,2019-11-20,308.2500,NFLX,301.0000,,301.0100,5115546
128,302.6000,2019-11-19,305.6699,NFLX,298.5201,,304.0100,5919710
129,302.5700,2019-11-18,304.9900,NFLX,293.2800,,296.0000,8621566
130,295.0300,2019-11-15,295.8186,NFLX,287.5680,,290.5900,6337779
131,289.6200,2019-11-14,290.6300,NFLX,283.2200,,283.2500,6539771
132,283.1100,2019-11-13,293.4100,NFLX,281.1400,,291.0300,9233066
133,292.0100,2019-11-12,295.3450,NFLX,288.7000,,295.3200,5774833
134,294.1800,2019-11-11,296.3600,NFLX,288.5000,,289.1600,3945885
135,291.5700,2019-11-08,293.9900,NFLX,287.5050,,288.7300,4509588
136,289.5700,2019-11-07,298.1900,NFLX,288.2679,,290.7000,5928471
137,288.5900,2019-11-06,290.5600,NFLX,285.8400,,288.1900,3438257
138,288.0300,2019-11-05,291.1900,NFLX,286.3100,,289.9900,4062370
139,292.8600,2019-11-04,295.3900,NFLX,287.1600,,288.0000,5566213
140,286.8100,2019-11-01,289.1200,NFLX,283.0200,,288.7000,5594293
141,287.4100,2019-10-31,291.4500,NFLX,284.7800,,291.0000,5090021
