,date,name,scaled,week,year,scaled_day_0,scaled_day_1,scaled_day_2,scaled_day_3,scaled_day_4,scaled_day_5,scaled_day_6,scaled_day_7,scaled_day_8,scaled_day_9,scaled_day_10,scaled_day_11,scaled_day_12,scaled_day_13
98,2015-01-17,nike,59.52,3,2015,59.52,50.56,50.56,50.56,55.04,50.56,62.08,65.0,52.0,52.65,53.3,52.0,50.7,56.55
104,2015-01-18,nike,57.6,3,2015,57.6,59.52,50.56,50.56,50.56,55.04,50.56,62.08,65.0,52.0,52.65,53.3,52.0,50.7
110,2015-01-19,nike,53.12000000000001,4,2015,53.12000000000001,57.6,59.52,50.56,50.56,50.56,55.04,50.56,62.08,65.0,52.0,52.65,53.3,52.0
116,2015-01-20,nike,50.56,4,2015,50.56,53.12000000000001,57.6,59.52,50.56,50.56,50.56,55.04,50.56,62.08,65.0,52.0,52.65,53.3
122,2015-01-21,nike,49.28,4,2015,49.28,50.56,53.12000000000001,57.6,59.52,50.56,50.56,50.56,55.04,50.56,62.08,65.0,52.0,52.65
128,2015-01-22,nike,49.92,4,2015,49.92,49.28,50.56,53.12000000000001,57.6,59.52,50.56,50.56,50.56,55.04,50.56,62.08,65.0,52.0
134,2015-01-23,nike,51.2,4,2015,51.2,49.92,49.28,50.56,53.12000000000001,57.6,59.52,50.56,50.56,50.56,55.04,50.56,62.08,65.0
140,2015-01-24,nike,58.88,4,2015,58.88,51.2,49.92,49.28,50.56,53.12000000000001,57.6,59.52,50.56,50.56,50.56,55.04,50.56,62.08
146,2015-01-25,nike,63.36,4,2015,63.36,58.88,51.2,49.92,49.28,50.56,53.12000000000001,57.6,59.52,50.56,50.56,50.56,55.04,50.56
152,2015-01-26,nike,51.2,5,2015,51.2,63.36,58.88,51.2,49.92,49.28,50.56,53.12000000000001,57.6,59.52,50.56,50.56,50.56,55.04
158,2015-01-27,nike,49.92,5,2015,49.92,51.2,63.36,58.88,51.2,49.92,49.28,50.56,53.12000000000001,57.6,59.52,50.56,50.56,50.56
164,2015-01-28,nike,50.56,5,2015,50.56,49.92,51.2,63.36,58.88,51.2,49.92,49.28,50.56,53.12000000000001,57.6,59.52,50.56,50.56
170,2015-01-29,nike,53.12000000000001,5,2015,53.12000000000001,50.56,49.92,51.2,63.36,58.88,51.2,49.92,49.28,50.56,53.12000000000001,57.6,59.52,50.56
